"from_str","to_str"
"0106th st","106th st"
"014th st","14th st"
"018th pl","118th pl"
"02nd pl","102nd pl"
"02nd st","102nd st"
"03agatite","agatite"
"03rd","103rd"
"04th pl","104th pl"
"05th st","105th st"
"06th st","106th st"
"08th st","108th st"
"0aberdeen","aberdeen"
"0akdale","oakdale"
"0ak park ave","oak park ave"
"0akwood","oakwood"
"0ashland","ashland"
"0belmont","belmont"
"0berwyn","berwyn"
"0chicago","chicago"
"0clinton","clinton"
"0commercial","commercial"
"0cornelia","cornelia"
"0cottage grove","cottage grove"
"0culletrton","cullerton"
"0farwell","farwell"
"0gden ave","ogden ave"
"0geneva","geneva"
"0glesby","oglesby"
"0hermitage","hermitage"
"0homan ave","homan ave"
"0jackson","jackson"
"0kimball","kimball"
"0lmsted","olmsted"
"0loomis","loomis"
"0michigan","michigan"
"0montgomery","montgomery"
"0morgan","morgan"
"0mozart","mozart"
"0ntario","ontario"
"0ohare st","ohare st"
"0ohio st","ohio st"
"0orchard","orchard"
"0parker","parker"
"0pulaski","pulaski"
"0rchard","orchard"
"0rleans","orleans"
"0sacramento","sacramento"
"0state st","state st"
"0superior","superior"
"0verhill ave","overhill ave"
"0verhill","overhill"
"0wabash","wabash"
"0wood st","wood st"
100,"100th"
"1006th pl","106th pl"
"1006th st","106th st"
"1007th st","107th st"
"100h st","100th st"
"100 p","100th pl"
"100 pk","100th pl"
"100 pl","100th pl"
"100pl","100th pl"
"100rd st","103rd st"
"100 st.","100th st"
"100 st","100th st"
"100st pl","101st pl"
"100 str","100th st"
"100t","100th"
"100th -","100th st"
"100th av","100th st"
"100th ave","100th st"
"100th dr","100th st"
"100th l","100th pl"
"100th p","100th pl"
"100th palce","100th pl"
"100 th pl","100th pl"
"100t hpl","100th pl"
"100thp l","100th pl"
"100thpl","100th pl"
"100th pla","100th pl"
"100th place","100th pl"
"100thplace","100th pl"
"100th pol","100th pl"
"100th s","100th st"
"100t hst","100th st"
"100th st.","100th st"
"100thst","100th st"
"100th ste","100th st"
"100th str","100th st"
"100th stre","100th st"
"100th streeet","100th st"
"100 th street","100th st"
"100th street.","100th st"
"100th street","100th st"
"100th t","100th st"
"100th ts","100th st"
"100t pl","100th pl"
"100tp pl","100th pl"
"100t st","100th st"
101,"101st"
"1011th st","111th st"
"101 p","101st pl"
"101 p-l","101st pl"
"101 pl","101st pl"
"101pl","101st pl"
"101s","101st"
"101 s","101st st"
"101s place","101st pl"
"101s st","101st st"
"101 st","101st"
"101st av","101st st"
"101st ave","101st st"
"101sth","101st"
"101st palce","101st pl"
"101 st pl","101st pl"
"101st pl.","101st pl"
"101stpl","101st pl"
"101 st place","101st pl"
"101st place","101st pl"
"101st plc","101st pl"
"101str","101st"
"101 street","101st st"
"101street","101st st"
"101st s","101st st"
"101 st st","101st st"
"101 stst","101st st"
"101st st.","101st st"
"101sts t","101st st"
"101stst","101st st"
"101st st9","101st st"
"101 st str","101st st"
"101st str","101st st"
"101 st street","101st st"
"101st street","101st st"
"101st streete","101st st"
"101st stret","101st st"
"101st st st","101st st"
"101st t","101st st"
"101st treet","101st st"
"101st ts","101st st"
"101t","101st"
"101ths t","101st st"
"101t st","101st st"
102,"102nd"
"102d st","102nd st"
"102end","102nd"
"102 nd","102nd"
"102nd alley","102nd"
"102nd ol","102nd pl"
"102nd palce","102nd pl"
"102 nd pl","102nd pl"
"102nd pl.","102nd pl"
"102ndpl","102nd pl"
"+102nd place","102nd pl"
"102nd place","102nd pl"
"102nd s","102nd st"
"102nd set","102nd st"
"102nd spl","102nd pl"
"102 nd st","102nd st"
"102nd st.","102nd st"
"102nd st'","102nd st"
"102nds t","102nd st"
"102ndst","102nd st"
"102nd str","102nd st"
"102nd stre","102nd st"
"102 nd street","102nd st"
"102nd street","102nd st"
"102nd sts","102nd st"
"102nd t","102nd st"
"102n pl","102nd pl"
"102n st","102nd st"
"102 pl","102nd pl"
"102pl","102nd pl"
"102rd","102nd"
"102rd st","103rd st"
"102 s","102nd st"
"102 st","102nd st"
"102th st","112th st"
"10300th st","130th st"
"1030th st","130th st"
103,"103rd"
"1033rd","133rd"
"1033rd st","103rd st"
"1036rd","103rd"
"103d","103rd"
"103d pl","103rd pl"
"103d st","103rd st"
"103ds t","103rd st"
"103d t","103rd st"
"103nd","103rd"
"103nd st","103rd st"
"103 pl","103rd pl"
"103pl","103rd pl"
"103 plc","103rd pl"
"103r","103rd"
"103 rd","103rd"
"103r d","103rd"
"103rd alley","103rd"
"103rd ave","103rd pl"
"103rd ct","103rd st"
"103rdd","103rd"
"103rd d st","103rd st"
"103rd et","103rd st"
"103rd l","103rd pl"
"103rd lot","103rd st"
"103rd p","103rd pl"
"103rd palce","103rd pl"
"103 rd pl","103rd pl"
"103 rdpl","103rd pl"
"103rd pl.","103rd pl"
"103rd pl+","103rd pl"
"103rdpl","103rd pl"
"103rd pla","103rd pl"
"103rd place","103rd pl"
"103rd plc","103rd pl"
"103rd plll","103rd pl"
"103rd pol","103rd pl"
"103rds","103rd"
"103 rd s","103rd st"
"103rd s","103rd st"
"103rd spl","103rd pl"
"103rd sr","103rd st"
"103rd sreet","103rd st"
"103rd sst","103rd st"
"103rds st","103rd st"
"103rd st 004","103rd st"
".103rd st","103rd st"
"103 rd st.","103rd st"
"103 rd st","103rd st"
"103r d st","103rd st"
"103r ds t","103rd st"
"103r dst","103rd st"
"103rd st.","103rd st"
"103rd st'","103rd st"
"103rds t","103rd st"
"103rdst","103rd st"
"103rd steret","103rd st"
"103rd st pl","103rd"
"103rd str","103rd st"
"103rd stre","103rd st"
"103rd stree","103rd st"
"103rd streeet","103rd st"
"103 rd street","103rd st"
"103rd street","103rd st"
"103rd street+","103rd st"
"103rd streete","103rd st"
"103rd streetr","103rd st"
"103rd stret","103rd st"
"103rd strreet","103rd st"
"103rd stv","103rd st"
"103rd sty","103rd st"
"103rd t","103rd st"
"103rd th","103rd pl"
"103rdt st","103rd st"
"103re","103rd"
"103r pl","103rd pl"
"103rrd st","103rd st"
"103rr st","103rd st"
"103rsd t","103rd st"
"103rs st","103rd st"
"103r st","103rd st"
"103rs t","103rd st"
"103rst","103rd st"
"103r str","103rd st"
"103 s","103rd st"
"103s","103rd st"
"103 st","103rd st"
"103 str","103rd st"
"103trd st","103rd st"
"10400th pl","104th pl"
"10400th st","104th st"
104,"104th"
"1043th","104th"
"1044th pl","104th pl"
"1044th street","104th st"
"104h st","104th st"
"104hst","104th st"
"104ht","104th st"
"104 [pl","104th pl"
"104 pl","104th pl"
"104pl","104th pl"
"104 plc","104th pl"
"104 plo","104th pl"
"104 po","104th pl"
"104s","104th"
"104 st","104th st"
"104sth st","104th st"
"104 str","104th st"
"104t","104th"
"104 t","104th st"
"104 th","104th"
"104th av","104th pl"
"104th ol","104th pl"
"104th p","104th pl"
"104 th pl","104th pl"
"104t hpl","104th pl"
"104th pl.","104th pl"
"104thp l","104th pl"
"104thpl","104th pl"
"104th plac","104th pl"
"104th plac3e","104th pl"
"104th place","104th pl"
"104th plce","104th pl"
"104th pll","104th pl"
"104th pst","104th st"
"104th s","104th st"
"104th sf","104th st"
"104th sgt","104th st"
"104th sreeet","104th st"
"104th sreet","104th st"
"104th st.","104th st"
"104th st]","104th st"
"104ths t","104th st"
"104thst","104th st"
"104th str","104th st"
"104th streeet","104th st"
"104th street","104th st"
"104th stret","104th st"
"104th t","104th st"
"104t st","104th st"
"104tst","104th st"
"104yh st","104th st"
"10500th st","105th st"
105,"105th"
"105h","105th"
"105h st","105th st"
"105 pl","105th pl"
"105pl","105th pl"
"105pth st","105th st"
"105s","105th"
"105 sst","105th st"
"105 st","105th st"
"105 st]","105th st"
"105t","105th"
"105tg st","105th st"
"105th5 place","105th pl"
"105th ct","105th st"
"105th p","105th pl"
"105th pl.","105th pl"
"105th pl'","105th pl"
"105thp l","105th pl"
"105thpl","105th pl"
"105th place","105th pl"
"105th pol","105th pl"
"105th s","105th st"
"105th s5t","105th st"
".105th st","105th st"
"105-th st","105th st"
"105t hst","105th st"
"105th st.","105th st"
"105th st'","105th st"
"105ths t","105th st"
"105thst","105th st"
"105th steret","105th st"
"105th str","105th st"
"105th stree","105th st"
"105th streeet","105th st"
"105th street","105th st"
"105th streete","105th st"
"105th streetr","105th st"
"105th t","105th st"
"105t pl","105th pl"
"105t st","105th st"
"10600th st","106th st"
106,"106th"
"106gth pl","106th pl"
"106h","106th"
"106h s","106th st"
"106h st","106th st"
"106 pl","106th pl"
"106pl","106th pl"
"106r st","106th st"
"106 s","106th st"
"106 st","106th st"
"106t","106th"
"106 th","106th"
"106th 8st","106th st"
"106th av","106th st"
"106th p","106th pl"
"106th palce","106th pl"
"106th pl.","106th pl"
"106thpl","106th pl"
"106th placae","106th pl"
"106th place","106th pl"
"106th plce","106th pl"
"106ths","106th"
"106th s","106th st"
"106th sreet","106th st"
"106 th st","106th st"
"106th st.","106th st"
"106ths t","106th st"
"106thst","106th st"
"106th steret","106th st"
"106th str","106th st"
"106th street","106th st"
"106th stret","106th st"
"106th st st","106th st"
"106th stt","106th st"
"106tht","106th"
"106th t","106th st"
"106t pl","106th pl"
"106t place","106th pl"
"106t st","106th st"
107,"107th"
"1077th","107th"
"107h st","107th st"
"107hth st","107th st"
"107p","107th"
"107 pl","107th pl"
"107pl","107th pl"
"107 pl st","107th"
"107 st","107th st"
"107 str","107th st"
"107 th","107th"
"107th alley","107th"
"107th ave","107th st"
"107th ok","107th st"
"107thp","107th"
"107th p","107th pl"
"107th palce","107th pl"
"107th pl.","107th pl"
"107thp l","107th pl"
"107thpl","107th pl"
"107th place","107th pl"
"107thplace","107th pl"
"107th plc","107th pl"
"107th s","107th st"
"107th sreet","107th st"
".107th st","107th st"
"107 th st","107th st"
"107t hst","107th st"
"107th s t","107th st"
"107th st.","107th st"
"107ths t","107th st"
"107thst","107th st"
"107th st9","107th st"
"107th str","107th st"
"107th stree","107th st"
"107th streeet","107th st"
"107th street","107th st"
"107th stret","107th st"
"107th sts","107th st"
"107th st st","107th st"
"107th t","107th st"
"107tj","107th"
"107t st","107th st"
"107tst","107th st"
"107tyh pl","107th pl"
"107ty st","107th st"
"107yh st","107th st"
"1080th","108th"
108,"108th"
"108h pl","108th pl"
"108h st","108th st"
"108 l","108th pl"
"108 pl.","108th pl"
"108 pl","108th pl"
"108pl","108th pl"
"108 plk","108th pl"
"108 pl st","108th"
"108 st","108th st"
"108 str","108th st"
"108thj st","108th st"
"108th ok","108th pl"
"108th p","108th pl"
"108th palce","108th pl"
"108t hpl","108th pl"
"108th pl.","108th pl"
"108thpl","108th pl"
".108th place","108th pl"
"108th place","108th pl"
"108thplace","108th pl"
"108th plc","108th pl"
"108th plo","108th pl"
"108th po","108th pl"
"108th s","108th st"
"108th set","108th st"
"108th sr","108th st"
"108th sreet","108th st"
"108 th st","108th st"
"108t hst","108th st"
"108th st.","108th st"
"108th st\","108th st"
"108ths t","108th st"
"108thst","108th st"
"108th steret","108th st"
"108th st pl","108th"
"108th str","108th st"
"108th street","108th st"
"108th streete","108th st"
"108th stret","108th st"
"108th st st","108th st"
"108th t","108th st"
"108t pl","108th pl"
"108t place","108th pl"
"108t st","108th st"
"108t t","108th st"
"108tth pl","108th pl"
"10900th st","109th st"
109,"109th"
"109h","109th"
"109h pl","109th pl"
"109h place","109th pl"
"109h st","109th st"
"109h t","109th st"
"109 l","109th pl"
"109 p","109th pl"
"109 pl","109th pl"
"109pl","109th pl"
"109 plo","109th pl"
"109 st.","109th st"
"109 st","109th st"
"109 str","109th st"
"109t7","109th"
"109tgh street","109th st"
"109thj st","109th st"
"109th p","109th pl"
"109th palace","109th pl"
"109th palce","109th pl"
"-109th pl","109th pl"
"109 th pl","109th pl"
"109th pl.","109th pl"
